// TORUS All-to-All Latency Table (cycles)
// Rows=SRC (node_id=y*4+x), Cols=DST
// - = same node (not tested)
SRC\DST    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15
------------------------------------------------------
   0       -    4    6    4    4    6    8    6    6    8   10    8    4    6    8    6
   1       4    -    8    6    ?    4    6    4    4    6    8    6    6    8   10    8
   2       6    8    -    8    4    6    8    6    ?    4    6    4    4    6    8    6
   3       4    6    8    -    6    8   10    8    4    6    8    6    ?    4    6    4
   4       4    ?    4    6    -    4    6    8    8    6    8   10    6    4    6    8
   5       6    4    6    8    4    -    4    6    6    4    6    8    8    6    8   10
   6       8    6    8   10    6    4    -    8    4    ?    4    6    6    4    6    8
   7       6    4    6    8    8    6    8    -    6    4    6    8    4    ?    4    6
   8       6    4    ?    4    8    6    4    6    -    8    6    8    8    6    4    6
   9       8    6    4    6    6    4    ?    4    8    -    4    6   10    8    6    8
  10      10    8    6    8    8    6    4    6    6    4    -    4    8    6    4    6
  11       8    6    4    6   10    8    6    8    8    6    4    -    6    4    ?    4
  12       4    6    4    ?    6    8    6    4    8   10    8    6    -    8    6    4
  13       6    8    6    4    4    6    4    ?    6    8    6    4    8    -    8    6
  14       8   10    8    6    6    8    6    4    4    6    4    ?    6    8    -    4
  15       6    8    6    4    8   10    8    6    6    8    6    4    4    6    4    -
